site,Site lat/long,x,y,agriculture,moor_heath,bog,pasture,early_forest,late_forest,prime_forest,broadleaf
BG1,"52.054213, -8.793655",52.054213,-8.793655,0.23,3.1,0.47,2.14,0.47,2.24,3.78,0.26
BG2,"52.041096, -8.792741",52.041096,-8.792741,0.37,3.11,0.47,0.98,0.78,3.86,2.91,0.21
BG3,"52.066944, -8.775014",52.066944,-8.775014,0,2.17,0.23,4.63,0.61,2.59,2.29,0.17
BH1,"52.287677, -8.483349",52.287677,-8.483349,1.95,2.59,0.48,1.3,0.9,3.89,1.36,0.21
BT1,"52.045665, -8.509335",52.045665,-8.509335,0,1.59,0,7.58,0.3,1.65,1.39,0.18
ML2,"52.236920, -9.141507",52.23692,-9.141507,0,1.91,2.18,2.96,0.38,3.95,0.91,0.39
ML4,"52.280144, -9.094329",52.280144,-9.094329,0.41,2.55,0,2.93,0.58,2.47,2.14,1.61
ML7,"52.328006, -9.092328",52.328006,-9.092328,0,2.41,1.1,1.77,0.75,4.79,1.21,0.67
ML8,"52.291899, -9.097219",52.291899,-9.097219,0,3.41,0,3.37,0.55,2.91,1.73,0.72
ML9,"52.306191, -9.179505",52.306191,-9.179505,0.51,1.48,0.82,4.54,0.51,2.37,1.93,0.53
NG1,"52.098655, -8.368269",52.098655,-8.368269,0.66,1.15,0.85,7.41,0.11,1.9,0.52,0.09
NG2,"52.067630, -8.412973",52.06763,-8.412973,0.57,1.4,0,6.94,0.26,1.6,1.06,0.87
