Site,Station,Date,Surveyor,Age,Perimeter,Area,P:A,Edge_type
BG2,10,16/08/2018,AMcC,8,2078,180350,0.01152204,Forest_track
BG2,100,16/08/2018,AMcC,8,2078,180350,0.01152204,Forest_track
BG2,50,16/08/2018,AMcC,8,2078,180350,0.01152204,Forest_track
BG3,10,14/08/2018,AMcC,4,1427,89434,0.0159559,Forest_track
BG3,100,16/08/2018,AMcC,4,1427,89434,0.0159559,Forest_track
BG3,50,16/08/2018,AMcC,4,1427,89434,0.0159559,Forest_track
BH1,10,01/07/2018,IS/AMcC,6,1085,69459,0.015620726,Forest_track
BH1,100,01/07/2018,IS,6,1085,69459,0.015620726,Forest_track
BH1,50,01/07/2018,IS,6,1085,69459,0.015620726,Forest_track
ML2,10,30/06/2018,IS,3,1293,94926,0.013621136,Forest_track
ML2,100,30/06/2018,IS,3,1293,94926,0.013621136,Forest_track
ML2,50,02/07/2018,IS,3,1293,94926,0.013621136,Forest_track
ML4,10,07/08/2018,AMcC,4,2212,153917,0.014371382,Forest_track
ML4,100,07/08/2018,AMcC,4,2212,153917,0.014371382,Forest_track
ML4,50,07/08/2018,AMcC,4,2212,153917,0.014371382,Forest_track
ML7,10,01/08/2018,AMcC,4,1464,103919,0.014087895,Forest_track
ML7,100,07/08/2018,AMcC,4,1464,103919,0.014087895,Forest_track
ML7,50,07/08/2018,AMcC,4,1464,103919,0.014087895,Forest_track
ML8,10,01/08/2018,AMcC,6,1838,161480,0.011382215,Forest_track
ML8,100,01/08/2018,AMcC,6,1838,161480,0.011382215,Forest_track
ML8,50,01/08/2018,AMcC,6,1838,161480,0.011382215,Forest_track
ML9,10,23/06/2018,IS,5,1590,148573,0.01070181,Forest_track
ML9,100,24/06/2018,IS,5,1590,148573,0.01070181,Forest_track
ML9,50,24/06/2018,IS,5,1590,148573,0.01070181,Forest_track
NG1,10,31/05/2018,AMcC/IS,5,1093,59675,0.018315878,Forest_track
NG1,100,31/05/2018,AMcC/IS,5,1093,59675,0.018315878,Minor_road
NG1,50,31/05/2018,AMcC/IS,5,1093,59675,0.018315878,Minor_road
NG2,10,01/06/2018,AMcC/IS,7,1958,153545,0.012751962,Forest_track
NG2,100,01/06/2018,AMcC/IS,7,1958,153545,0.012751962,Forest_track
NG2,50,01/06/2018,AMcC/IS,7,1958,153545,0.012751962,Forest_track
